player_name,player_name_clean,suggested_match,confidence,accepted_automatically
Ravichandaran Ashwin,ravichandaran ashwin,ravichandran ashwin,0.9743589743589743,True
Nitish Kumar Reddy ,nitish kumar reddy,nithish kumar reddy,0.972972972972973,True
Parveez Rasool,parveez rasool,parvez rasool,0.9629629629629629,True
Iqbal Abdullah,iqbal abdullah,iqbal abdulla,0.9629629629629629,True
Iqbal Abdullah,iqbal abdullah,iqbal abdulla,0.9629629629629629,True
Litton Das ,litton das,liton das,0.9473684210526315,True
Sam Curran  ,sam curran,sm curran,0.9473684210526315,True
Sam Curran ,sam curran,sm curran,0.9473684210526315,True
Sam Curran,sam curran,sm curran,0.9473684210526315,True
Sam Curran,sam curran,sm curran,0.9473684210526315,True
J. Suchitch,j suchitch,j suchith,0.9473684210526315,True
Ryan Ten Doeschate,ryan ten doeschate,rn ten doeschate,0.9411764705882353,True
Prasidh Krishna,prasidh krishna,m prasidh krishna,0.9375,True
Sandeep Warrier,sandeep warrier,s sandeep warrier,0.9375,True
Tom Kohler-Cadmore ,tom kohlercadmore,t kohlercadmore,0.9375,True
Prasidh Krishna ,prasidh krishna,m prasidh krishna,0.9375,True
Joe Root ,joe root,je root,0.9333333333333333,True
Monu Singh,monu singh,mandeep singh,0.93,True
Mohd. Arshad Khan,mohd arshad khan,mohsin khan,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Pradeep Sangwan,pradeep sangwan,pj sangwan,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Mohit Sharma ,mohit sharma,mm sharma,0.93,True
Mohit Sharma,mohit sharma,mm sharma,0.93,True
Moises Henriques,moises henriques,mc henriques,0.93,True
Moises Henriques,moises henriques,mc henriques,0.93,True
Moises Henriques ,moises henriques,mc henriques,0.93,True
Morne Morkel,morne morkel,m morkel,0.93,True
Pradeep Sangwan ,pradeep sangwan,pj sangwan,0.93,True
Mujeeb Rahman ,mujeeb rahman,mujeeb ur rahman,0.93,True
Munaf Patel,munaf patel,mm patel,0.93,True
