match_season,player_name_clean,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index
2012.0,a ashish reddy,9.0,5.0,105.0,88.0,54.0,9.0,3.0,12.0,37.0,119.31818181818181,8.75,13.636363636363635,42.04545454545455,21.0,38.0,20.0,30.0,0.0,50.0,20.0,35.0,0.0,,100.0,131.57894736842107,9.0,9.0,507.0,495.0,711.0,33.0,165.0,15.0,8.618181818181819,33.33333333333333,110.0,192.0,169.0,24.0,186.0,228.0,237.0,60.0,12.0,10.0,11.0,0.0,0.0,15.0,12.0,10.145454545454546,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2013.0,a ashish reddy,10.0,10.0,375.0,268.0,186.0,24.0,15.0,18.0,73.0,139.92537313432837,20.833333333333332,14.55223880597015,27.238805970149254,37.5,132.0,34.0,90.0,12.0,192.0,48.0,125.0,10.0,83.33333333333334,141.1764705882353,145.45454545454547,5.0,5.0,123.0,121.0,210.0,9.0,30.0,13.444444444444445,10.413223140495868,24.793388429752067,20.0,60.0,41.0,0.0,50.0,90.0,70.0,0.0,2.0,4.0,3.0,0.0,0.0,,2.0,15.0,1,105.0,33.0,119.31818181818181,8.618181818181819,1,105.0,33.0,9.0,105.0,33.0,9.0,119.31818181818181,8.618181818181819,105.0,33.0,119.31818181818181,8.618181818181819,0,0,1,1,0.5032540469111332,0.6220267591674926
2015.0,a ashish reddy,5.0,5.0,219.0,138.0,126.0,9.0,15.0,9.0,39.0,158.69565217391303,24.333333333333332,17.391304347826086,28.26086956521739,43.8,62.0,30.0,46.0,0.0,112.0,34.0,73.0,0.0,,113.33333333333333,180.64516129032256,4.0,4.0,111.0,109.0,150.0,9.0,27.0,12.11111111111111,8.256880733944953,24.770642201834864,12.0,60.0,37.0,0.0,6.0,94.0,50.0,0.0,2.0,4.0,3.0,0.0,0.0,,2.0,3.0,2,240.0,21.0,129.6217774762551,9.515702479338843,2,480.0,42.0,19.0,480.0,42.0,19.0,129.6217774762551,9.515702479338843,375.0,33.0,139.92537313432837,8.618181818181819,0,0,1,1,0.6254377271225635,0.62001982160555
2016.0,a ashish reddy,3.0,3.0,141.0,88.0,96.0,6.0,12.0,6.0,28.0,160.22727272727272,23.5,20.454545454545457,31.818181818181817,47.0,22.0,36.0,30.0,0.0,30.0,64.0,47.0,0.0,,177.77777777777777,136.36363636363635,2.0,2.0,69.0,69.0,117.0,3.0,15.0,23.0,10.173913043478262,21.73913043478261,0.0,46.0,23.0,0.0,0.0,78.0,39.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,,3,297.0,9.0,149.3105126541207,9.33505193722041,3,699.0,51.0,24.0,699.0,51.0,24.0,139.31306904214105,9.096095230874214,375.0,33.0,158.69565217391303,8.256880733944953,0,0,1,1,0.6704575487281136,0.6429220350181698
2022.0,a badoni,11.0,11.0,483.0,399.0,258.0,33.0,21.0,24.0,153.0,121.05263157894737,20.125,13.533834586466165,38.34586466165413,43.90909090909091,100.0,144.0,139.0,16.0,168.0,150.0,161.0,4.0,25.0,104.16666666666667,168.0,2.0,2.0,36.0,36.0,33.0,6.0,9.0,6.0,5.5,25.0,0.0,24.0,12.0,0.0,0.0,22.0,11.0,0.0,0.0,4.0,2.0,0.0,0.0,,0.0,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2023.0,a badoni,12.0,12.0,714.0,530.0,372.0,39.0,36.0,27.0,182.0,134.71698113207546,26.444444444444443,14.150943396226415,34.33962264150943,59.5,144.0,164.0,186.0,36.0,256.0,192.0,238.0,28.0,77.77777777777779,117.07317073170731,177.77777777777777,1.0,1.0,3.0,3.0,0.0,0.0,3.0,,0.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,483.0,6.0,121.05263157894737,5.5,1,483.0,6.0,11.0,483.0,6.0,11.0,121.05263157894737,5.5,483.0,6.0,121.05263157894737,5.5,0,1,0,0,0.6097538817310869,0.6211100099108029
2024.0,a badoni,12.0,12.0,235.0,171.0,118.0,22.0,5.0,8.0,47.0,137.4269005847953,29.375,15.789473684210526,27.485380116959064,19.583333333333332,72.0,79.0,0.0,20.0,120.0,102.0,0.0,13.0,65.0,129.1139240506329,166.66666666666669,2.0,2.0,12.0,12.0,25.0,0.0,1.0,,12.5,8.333333333333332,0.0,6.0,0.0,6.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,2,598.5,3.0,127.88480635551142,2.75,2,1197.0,6.0,23.0,1197.0,6.0,23.0,127.88480635551142,2.75,714.0,6.0,134.71698113207546,0.0,1,2,0,0,0.7478361413941196,0.6229269904195573
2025.0,a badoni,11.0,11.0,329.0,222.0,192.0,27.0,14.0,10.0,65.0,148.19819819819818,32.9,18.46846846846847,29.27927927927928,29.90909090909091,56.0,152.0,0.0,14.0,106.0,208.0,0.0,15.0,107.14285714285714,136.8421052631579,189.28571428571428,2.0,2.0,10.0,10.0,13.0,2.0,3.0,5.0,7.8,30.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,7.8,3,474.5,0.0,136.07194085843537,6.25,3,1432.0,6.0,35.0,1432.0,6.0,35.0,131.0655044319394,6.0,714.0,6.0,137.4269005847953,0.0,1,2,0,0,0.7678559629996697,0.6200528576148002
2012.0,a chandila,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,100.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,252.0,252.0,258.0,15.0,117.0,16.8,6.142857142857143,46.42857142857143,0.0,60.0,132.0,60.0,0.0,78.0,140.0,40.0,0.0,2.0,9.0,4.0,4.0,4.0,0.0,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2013.0,a chandila,8.0,1.0,12.0,18.0,0.0,0.0,0.0,0.0,6.0,66.66666666666666,,0.0,33.33333333333333,12.0,12.0,0.0,6.0,0.0,8.0,0.0,4.0,0.0,,,66.66666666666666,8.0,8.0,450.0,450.0,468.0,18.0,192.0,25.0,6.24,42.66666666666667,12.0,48.0,246.0,144.0,12.0,62.0,228.0,166.0,0.0,0.0,12.0,6.0,6.0,6.916666666666667,0.0,6.0,1,0.0,15.0,0.0,6.142857142857143,1,0.0,15.0,4.0,0.0,15.0,4.0,0.0,6.142857142857143,0.0,15.0,0.0,6.142857142857143,0,0,0,1,0.15873802444664684,0.6613230921704658
