team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,sena_overseas_premium_proxy,wicketkeeper_scarcity_proxy,death_bowler_premium_proxy,control_bowler_premium_proxy,left_arm_bowler_proxy,premium_bowler_quality_index,elite_indian_pacer_scarcity_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,article_fair_price_in_inr,article_market_premium_in_inr,article_fair_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,article_mispricing_in_inr,article_mispricing_pct,article_mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct
Lucknow Super Giants,Ayush Badoni ,All-Rounder ,"20,00,000 ",2022.0,IPL_Auction_2022_Sold_Player.csv,2000000.0,0.2,ayush badoni,all_rounder,0,0,1,95.0,,Indian ,,,a badoni,0.93,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.508658238524095,a badoni,10500000.0,27044117.647058822,5517000000.0,204,1.05,0.9910567686176017,1,7500000.0,25774647.887323942,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,,0,,,,0,15.108278678408032,3642855.477433578,16.974431361215245,23545171.339563865,gradient_boosting,0.3642855477433578,2.3545171339563864,13264677.383472797,-10280493.956091069,1.3264677383472796,0.2,1642855.477433578,0.8214277387167891,moderately_undervalued,11264677.383472797,5.632338691736399,fair,21545171.339563865,10.772585669781932
Royal Challengers Bengaluru,Aniket Choudhary,Bowler,"30,00,000",2018.0,IPL_Auction_2018_Sold_Player.csv,3000000.0,0.3,aniket choudhary,bowler,0,0,0,143.0,,,,,a choudhary,0.93,2017.0,a choudhary,5.0,3.0,75.0,60.0,30.0,3.0,3.0,3.0,12.0,125.0,25.0,10.0,20.0,25.0,38.0,2.0,20.0,0.0,48.0,2.0,25.0,0.0,,100.0,126.3157894736842,5.0,5.0,324.0,310.0,432.0,15.0,126.0,20.666666666666668,8.361290322580645,40.64516129032258,48.0,58.0,144.0,60.0,80.0,112.0,188.0,52.0,2.0,0.0,9.0,4.0,4.0,5.2,2.0,10.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2571522960026429,0.3229930624380575,14.914123179965662,a choudhary,17000000.0,25544378.698224854,4317000000.0,169,1.7,0.9360974441612168,1,20000000.0,24647540.98360656,0,0,0,0,0,0,1,1,0,0.7089011122123114,0,,0,,,,0,15.988628378684654,8785632.413263371,16.381657453781788,13015576.32398754,gradient_boosting,0.8785632413263371,1.3015576323987539,15850746.661126629,2835170.3371390887,1.585074666112663,0.3,5785632.413263371,1.928544137754457,strongly_undervalued,12850746.661126629,4.283582220375543,moderately_undervalued,10015576.32398754,3.33852544132918
Mumbai Indians,Anshul Kamboj ,All-Rounder ,"20,00,000 ",2024.0,IPL_Auction_2024_Sold_Player.csv,2000000.0,0.2,anshul kamboj,all_rounder,0,0,1,42.0,,Indian ,,,a kamboj,0.93,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.508658238524095,a kamboj,12500000.0,32006944.444444444,2304500000.0,72,1.25,1.1729241585326406,0,5000000.0,28304347.826086957,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,,0,,,,0,14.975148652641064,3188778.0311591676,16.974431361215245,23545171.339563865,gradient_boosting,0.3188778031159168,2.3545171339563864,12340133.710459575,-11205037.62910429,1.2340133710459575,0.2,1188778.0311591676,0.5943890155795838,fair,10340133.710459575,5.170066855229788,fair,21545171.339563865,10.772585669781932
Chennai Super Kings,Anshul Kamboj,,"3,40,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,34000000.0,3.4,anshul kamboj,batter,0,0,0,5.0,,Indian,"30,00,000 ",Uncapped,a kamboj,0.93,2024.0,a kamboj,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,100.0,,3.0,3.0,68.0,60.0,114.0,2.0,19.0,30.0,11.4,31.666666666666664,0.0,24.0,0.0,36.0,0.0,44.0,0.0,70.0,0.0,1.0,0.0,1.0,1.0,11.666666666666666,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2571522960026429,0.3229930624380575,17.341871111992198,a kamboj,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,2000000.0,1,1.0,2000000.0,2000000.0,0,15.383379089182107,4796412.884133713,15.303889270935816,4429906.542056074,gradient_boosting,0.47964128841337134,0.44299065420560746,8038546.187286001,3242133.3031522874,0.8038546187286001,3.4,-29203587.11586629,-0.8589290328195968,strongly_overvalued,-25961453.812714,-0.7635721709621764,strongly_overvalued,-29570093.457943924,-0.8697086311159977
Sunrisers Hyderabad,Abhinav Manohar,,"3,20,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,32000000.0,3.2,abhinav manohar,batter,0,0,0,170.0,,Indian,"30,00,000 ",Uncapped,a manohar,0.93,2024.0,a manohar,2.0,2.0,9.0,16.0,4.0,1.0,0.0,2.0,11.0,56.25,4.5,6.25,68.75,4.5,0.0,7.0,0.0,9.0,0.0,7.0,0.0,2.0,22.22222222222222,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,333.0,,138.59950093574548,,2.0,666.0,,13.0,666.0,,13.0,138.59950093574548,,342.0,,141.48471615720524,,0.0,0.0,0.0,0.0,0.6640981169474727,0.3229930624380575,17.281246492014,a manohar,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,,0,,,,0,15.885500626727609,7924743.414946383,15.53180337600193,5563862.92834891,gradient_boosting,0.7924743414946382,0.556386292834891,19717075.24403904,11792331.829092657,1.971707524403904,3.2,-24075256.585053615,-0.7523517682829255,strongly_overvalued,-12282924.75596096,-0.38384139862378,strongly_overvalued,-26436137.07165109,-0.8261292834890965
Delhi Capitals,Amit Mishra,Bowler,"4,00,00,000",2018.0,IPL_Auction_2018_Sold_Player.csv,40000000.0,4.0,amit mishra,bowler,0,0,0,24.0,,,,,a mishra,0.93,2017.0,a mishra,14.0,6.0,147.0,160.0,60.0,6.0,6.0,3.0,70.0,91.875,49.0,7.5,43.75,24.5,64.0,40.0,56.0,0.0,74.0,24.0,49.0,0.0,,60.0,115.625,14.0,14.0,711.0,703.0,1029.0,30.0,234.0,23.433333333333334,8.782361308677098,33.285917496443815,10.0,372.0,237.0,84.0,18.0,550.0,343.0,118.0,2.0,16.0,10.0,2.0,2.0,8.428571428571429,2.0,10.799999999999999,8.0,18.0,33.0,46.71814671814672,7.5200387487809195,8.0,873.0,372.0,112.0,48.0,87.0,36.0,50.19305019305019,8.013359165853947,267.0,93.0,136.0,6.332142857142857,0.0,0.0,8.0,8.0,0.4429302940204824,0.916815328708292,17.50439003707821,a mishra,17000000.0,25544378.698224854,4317000000.0,169,1.7,0.9360974441612168,1,20000000.0,24647540.98360656,1,0,0,0,0,0,1,1,0,0.8273135055528282,0,,0,,,,0,17.34199059376469,34004062.623084076,18.079462072316932,71090342.67912772,gradient_boosting,3.4004062623084077,7.109034267912772,52872852.04055034,-18217490.63857738,5.287285204055034,4.0,-5995937.376915924,-0.1498984344228981,moderately_overvalued,12872852.040550344,0.3218213010137586,moderately_undervalued,31090342.679127723,0.7772585669781931
Lucknow Super Giants,Amit Mishra ,Bowler ,"50,00,000 ",2023.0,IPL_Auction_2023_Sold_Player.csv,5000000.0,0.5,amit mishra,bowler,0,0,0,27.0,,Indian ,,,a mishra,0.93,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.424948670398354,a mishra,5000000.0,20875000.0,1670000000.0,80,0.5,0.7649837319481706,0,5000000.0,12000000.0,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,40000000.0,1,5.0,40000000.0,40000000.0,0,15.564816436937225,5750608.671260597,17.427270106819172,37031152.64797508,gradient_boosting,0.5750608671260597,3.703115264797508,26015148.779712055,-11016003.868263025,2.6015148779712054,0.5,750608.6712605972,0.15012173425211944,fair,21015148.779712055,4.203029755942411,strongly_undervalued,32031152.64797508,6.406230529595016
Kolkata Knight Riders,Anrich Nortje,Bowler,"20,00,000",2019.0,IPL_Auction_2019_Sold_Player.csv,2000000.0,0.2,anrich nortje,bowler,0,0,0,32.0,,,,,a nortje,0.93,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.508658238524095,a nortje,7500000.0,17800000.0,1068000000.0,60,0.75,0.6522975055653861,0,9250000.0,18166666.666666668,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,,0,,,,0,15.54599431963385,5643382.30071502,17.427270106819172,37031152.64797508,gradient_boosting,0.564338230071502,3.703115264797508,19981070.274917435,-17050082.373057645,1.9981070274917434,0.2,3643382.30071502,1.82169115035751,moderately_undervalued,17981070.274917435,8.990535137458718,strongly_undervalued,35031152.64797508,17.51557632398754
Kolkata Knight Riders,Anrich Nortje  ,,"6,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,65000000.0,6.5,anrich nortje,batter,1,0,0,60.0,,Overseas,"2,00,00,000 ",Capped,a nortje,0.93,2024.0,a nortje,6.0,2.0,4.0,8.0,0.0,0.0,0.0,2.0,5.0,50.0,2.0,0.0,62.5,2.0,6.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,,50.0,50.0,6.0,6.0,140.0,132.0,294.0,7.0,36.0,18.857142857142858,13.363636363636363,27.27272727272727,42.0,54.0,0.0,36.0,148.0,77.0,0.0,69.0,3.0,2.0,0.0,2.0,2.0,11.5,3.0,21.142857142857142,4.0,57.0,28.5,71.68784029038113,9.233356965261066,4.0,135.0,159.0,40.0,114.0,93.0,24.0,71.68784029038113,8.191868950827402,111.0,66.0,127.58620689655173,6.108892921960073,0.0,0.0,4.0,4.0,0.40554179055170136,0.8745374958704989,17.989897843244528,a nortje,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,2000000.0,1,6.0,2000000.0,2000000.0,0,17.16364920674128,28449728.390709728,14.789306161965607,2647975.07788162,gradient_boosting,2.844972839070973,0.26479750778816197,17506966.370583717,-10942762.020126011,1.7506966370583716,6.5,-36550271.60929027,-0.5623118709121581,strongly_overvalued,-47493033.62941629,-0.7306620558371737,strongly_overvalued,-62352024.92211838,-0.9592619218787444
Lucknow Super Giants,Anrich Nortje  ,,"2,00,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,20000000.0,2.0,anrich nortje,unknown,1,0,0,38.0,,Overseas,"2,00,00,000 ",Capped,a nortje,0.93,2025.0,a nortje,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,45.0,42.0,83.0,1.0,14.0,42.0,11.857142857142858,33.33333333333333,6.0,18.0,0.0,18.0,17.0,27.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,17.0,5.0,57.5,18.5,88.79310344827587,11.163350329561,5.0,139.0,166.0,46.0,118.0,64.0,22.0,64.45856019358742,10.610116764719498,111.0,66.0,127.58620689655173,6.108892921960073,0.0,0.0,4.0,4.0,0.40365047902213413,0.7233316815328709,16.811242881518265,a nortje,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,7500000.0,23867187.5,0,0,0,0,0,0,0,0,0,0.0,0,65000000.0,2,1.0,65000000.0,33500000.0,0,16.48492810199458,14431559.995484404,16.436152887963768,13744548.286604362,gradient_boosting,1.4431559995484404,1.3744548286604361,37443000.0,23011440.004515596,3.7443,2.0,-5568440.004515596,-0.2784220002257798,moderately_overvalued,17443000.0,0.87215,moderately_undervalued,-6255451.713395638,-0.31277258566978194
