team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played_x,innings_batted,runs_scored_x,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate_x,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings_x,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets_x,dot_balls_bowling,bowling_strike_rate,economy_rate_x,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct,player_name_display,player_name_join,role_bucket_realized,matches_played_y,runs_scored_y,batting_strike_rate_y,runs_per_innings_y,wickets_y,economy_rate_y,realized_value_index,realized_percentile_within_role,realized_outcome_label
 Punjab Kings,Shreyas Iyer,,"26,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,267500000.0,26.75,shreyas iyer,batter,0,0,0,111.0,,Indian,"2,00,00,000 ",Capped,shreyas iyer,1.0,2024.0,shreyas iyer,14.0,14.0,351.0,239.0,220.0,34.0,14.0,9.0,74.0,146.86192468619245,39.0,20.0836820083682,30.962343096234306,25.071428571428573,36.0,168.0,0.0,35.0,84.0,239.0,0.0,28.0,80.0,142.26190476190476,233.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,864.0,0.0,116.58193306573133,7.0,19.404630128038654,shreyas iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,1,1,1,1,122500000.0,1,3.0,122500000.0,122500000.0,1,17.542232233292008,41542693.24215468,17.928767021425315,61145510.83591331,random_forest,4.154269324215468,6.114551083591331,26.75,-225957306.7578453,-0.8447002121788609,strongly_overvalued,-206354489.1640867,-0.771418651080698,Shreyas Iyer,shreyas iyer,batter,17.0,604.0,175.07246376811594,35.529411764705884,,,5.249776386943243,0.9294117647058824,impact
 Lucknow Super Giants,Rishabh Pant,,"27,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,270000000.0,27.0,rishabh pant,batter,0,0,0,74.0,,Indian,"2,00,00,000 ",Capped,rishabh pant,1.0,2024.0,rishabh pant,13.0,13.0,446.0,287.0,294.0,36.0,25.0,11.0,90.0,155.4006968641115,40.54545454545455,21.254355400696863,31.3588850174216,34.30769230769231,38.0,217.0,0.0,32.0,92.0,306.0,0.0,48.0,150.0,141.01382488479263,242.10526315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1146.0,,138.1898293389626,,19.413932520666354,rishabh pant,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,1,1,0,1,,0,,,,1,17.6441686957413,46000769.105691075,17.99800964965561,65529411.76470588,random_forest,4.600076910569108,6.552941176470588,27.0,-223999230.89430892,-0.8296267810900331,strongly_overvalued,-204470588.2352941,-0.7572984749455337,Rishabh Pant,rishabh pant,batter,13.0,269.0,133.16831683168317,20.692307692307693,,,1.4799387410006535,0.4470588235294118,solid
 Kolkata Knight Riders,Venkatesh Iyer,,"23,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,237500000.0,23.75,venkatesh iyer,batter,0,0,0,59.0,,Indian,"2,00,00,000 ",Capped,venkatesh iyer,1.0,2024.0,venkatesh iyer,13.0,13.0,370.0,233.0,254.0,35.0,19.0,8.0,84.0,158.79828326180257,46.25,23.17596566523605,36.05150214592275,28.46153846153846,34.0,131.0,1.0,67.0,56.0,182.0,4.0,128.0,191.04477611940297,138.93129770992368,164.70588235294116,1.0,1.0,6.0,6.0,28.0,0.0,0.0,,28.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,879.0,0.0,125.1878707060605,11.499999999999998,19.285678185649495,venkatesh iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,1,2000000.0,1,4.0,2000000.0,2000000.0,0,16.583526817767346,15927006.605676724,17.980854935896826,64414860.681114554,random_forest,1.5927006605676723,6.441486068111455,23.75,-221572993.3943233,-0.9329389195550454,strongly_overvalued,-173085139.31888545,-0.7287795339742545,Venkatesh Iyer,venkatesh iyer,batter,7.0,142.0,139.2156862745098,20.285714285714285,,,0.8235473621421134,0.3176470588235294,below_expectation
 Punjab Kings,Yuzvendra Chahal,,"18,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,180000000.0,18.0,yuzvendra chahal,bowler,0,0,0,112.0,,Indian,"2,00,00,000 ",Capped,ys chahal,0.93,2024.0,ys chahal,15.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,362.0,348.0,546.0,18.0,98.0,19.333333333333332,9.413793103448276,28.160919540229884,36.0,288.0,0.0,24.0,69.0,450.0,0.0,27.0,2.0,15.0,0.0,1.0,1.0,6.75,2.0,11.5,11.0,15.0,72.0,62.5,7.859638554216867,19.00846741441004,ys chahal,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,16000000.0,41633333.333333336,1,0,0,0,65000000.0,2,3.0,65000000.0,62500000.0,1,17.613927655431528,44630481.84681966,17.917770067284312,60476780.18575851,random_forest,4.463048184681966,6.0476780185758505,18.0,-135369518.15318033,-0.7520528786287796,strongly_overvalued,-119523219.8142415,-0.6640178878568972,Yuzvendra Chahal,ys chahal,bowler,13.0,,,,16.0,9.555555555555555,2.796356701953985,0.7628865979381443,impact
 Punjab Kings,Arshdeep Singh,,"18,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,180000000.0,18.0,arshdeep singh,batter,1,0,0,113.0,,Overseas,"2,00,00,000 ",Capped,arshdeep singh,1.0,2024.0,arshdeep singh,14.0,1.0,4.0,3.0,4.0,1.0,0.0,1.0,2.0,133.33333333333331,4.0,33.33333333333333,66.66666666666666,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,133.33333333333331,14.0,14.0,326.0,302.0,505.0,19.0,108.0,15.894736842105264,10.033112582781456,35.76158940397351,86.0,54.0,12.0,150.0,175.0,92.0,17.0,221.0,9.0,3.0,1.0,6.0,6.0,8.84,9.0,12.209302325581396,5.0,34.5,40.5,85.79545454545455,8.529161286104255,19.00846741441004,arshdeep singh,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,2000000.0,1,6.0,2000000.0,2000000.0,0,17.776854985051425,52527897.4281709,16.333406831596434,12402476.780185757,random_forest,5.2527897428170895,1.2402476780185758,18.0,-127472102.57182911,-0.7081783476212729,strongly_overvalued,-167597523.21981424,-0.9310973512211902,Arshdeep Singh,arshdeep singh,bowler,16.0,2.0,33.33333333333333,1.0,21.0,8.879999999999999,4.633061632917966,0.9587628865979382,impact
 Rajasthan Royals,Jofra Archer,,"12,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,125000000.0,12.5,jofra archer,unknown,1,0,0,134.0,,Overseas,"2,00,00,000 ",Capped,jc archer,0.93,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.643824303266577,jc archer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,5000000.0,16150602.409638554,0,0,0,0,80000000.0,2,3.0,80000000.0,76000000.0,1,16.47418298698977,14277321.352863353,17.792265583009964,53343653.250773996,random_forest,1.4277321352863352,5.3343653250774,12.5,-110722678.64713664,-0.8857814291770931,strongly_overvalued,-71656346.749226,-0.5732507739938081,Jofra Archer,jc archer,bowler,12.0,63.0,126.0,9.0,11.0,9.416058394160585,2.7062022806766373,0.7216494845360825,impact
 Royal Challengers Bengaluru,Josh Hazlewood,,"12,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,125000000.0,12.5,josh hazlewood,unknown,1,0,0,148.0,,Overseas,"2,00,00,000 ",Capped,jr hazlewood,0.93,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.643824303266577,jr hazlewood,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,5000000.0,16150602.409638554,0,0,0,0,77500000.0,2,3.0,77500000.0,48750000.0,1,16.565825911408876,15647564.619929878,17.792265583009964,53343653.250773996,random_forest,1.564756461992988,5.3343653250774,12.5,-109352435.38007012,-0.874819483040561,strongly_overvalued,-71656346.749226,-0.5732507739938081,Josh Hazlewood,jr hazlewood,bowler,12.0,0.0,0.0,0.0,22.0,8.772727272727273,5.222488338505793,0.979381443298969,impact
 Gujarat Titans,Jos  Buttler,,"15,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,157500000.0,15.75,jos buttler,batter,1,0,0,39.0,,Overseas,"2,00,00,000 ",Capped,jc buttler,0.93,2024.0,jc buttler,11.0,11.0,359.0,255.0,216.0,36.0,12.0,9.0,91.0,140.7843137254902,39.888888888888886,18.823529411764707,35.68627450980392,32.63636363636363,29.0,62.0,18.0,146.0,56.0,95.0,17.0,191.0,130.82191780821915,153.2258064516129,193.10344827586206,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1882.5,,142.01619367861858,,18.874936022579167,jc buttler,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,1,0,0,0,44000000.0,1,7.0,44000000.0,44000000.0,0,17.778198821772147,52598533.79818475,17.97390979378357,63969040.24767801,random_forest,5.259853379818475,6.396904024767801,15.75,-104901466.20181525,-0.6660410552496207,strongly_overvalued,-93530959.75232199,-0.5938473635068062,Jos  Buttler,jc buttler,batter,13.0,538.0,163.03030303030303,41.38461538461539,,,5.112054427986422,0.9176470588235294,impact
 Royal Challengers Bengaluru,Phil Salt,,"11,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,115000000.0,11.5,phil salt,batter,1,0,0,149.0,,Overseas,"2,00,00,000 ",Capped,pd salt,0.93,2024.0,pd salt,12.0,12.0,435.0,239.0,344.0,50.0,24.0,11.0,87.0,182.0083682008368,39.54545454545455,30.962343096234306,36.40167364016737,36.25,0.0,66.0,46.0,127.0,0.0,124.0,72.0,239.0,188.18897637795274,187.87878787878788,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,654.0,,163.0922693266833,,18.560442695023177,pd salt,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,20000000.0,1,2.0,20000000.0,20000000.0,0,16.513120215756338,14844205.549666096,18.065949964760243,70136222.91021672,random_forest,1.4844205549666096,7.0136222910216715,11.5,-100155794.45033391,-0.870919951742034,strongly_overvalued,-44863777.08978328,-0.39011980078072417,Phil Salt,pd salt,batter,13.0,403.0,175.9825327510917,31.0,,,3.7665208224285394,0.8235294117647058,impact
 Delhi Capitals,KL Rahul,,"14,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,140000000.0,14.0,kl rahul,batter,0,0,0,20.0,,Indian,"2,00,00,000 ",Capped,kl rahul,1.0,2024.0,kl rahul,14.0,14.0,520.0,382.0,294.0,45.0,19.0,14.0,123.0,136.12565445026178,37.142857142857146,16.75392670157068,32.19895287958115,37.142857142857146,8.0,146.0,20.0,208.0,8.0,219.0,16.0,277.0,133.1730769230769,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1335.0,,123.08397393891762,,18.757152987716434,kl rahul,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,1,1,0,1,110000000.0,2,7.0,110000000.0,55000005.5,1,17.55636898203427,42134142.608325936,17.95040464777045,62482972.13622291,random_forest,4.213414260832594,6.2482972136222905,14.0,-97865857.39167407,-0.6990418385119577,strongly_overvalued,-77517027.8637771,-0.5536930561698364,KL Rahul,kl rahul,batter,13.0,546.0,150.4132231404959,39.0,,,4.760502964887226,0.8823529411764706,impact
