team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,sena_overseas_premium_proxy,wicketkeeper_scarcity_proxy,death_bowler_premium_proxy,control_bowler_premium_proxy,left_arm_bowler_proxy,premium_bowler_quality_index,elite_indian_pacer_scarcity_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,article_fair_price_in_inr,article_market_premium_in_inr,article_fair_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,article_mispricing_in_inr,article_mispricing_pct,article_mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct
Kolkata Knight Riders,Venkatesh Iyer,,"23,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,237500000.0,23.75,venkatesh iyer,batter,0,0,0,59.0,,Indian,"2,00,00,000 ",Capped,venkatesh iyer,1.0,2024.0,venkatesh iyer,13.0,13.0,370.0,233.0,254.0,35.0,19.0,8.0,84.0,158.79828326180257,46.25,23.17596566523605,36.05150214592275,28.46153846153846,34.0,131.0,1.0,67.0,56.0,182.0,4.0,128.0,191.04477611940297,138.93129770992368,164.70588235294116,1.0,1.0,6.0,6.0,28.0,0.0,0.0,,28.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,879.0,0.0,125.1878707060605,11.499999999999998,3.0,2868.0,,36.0,2868.0,9.0,36.0,125.74429475642127,9.73076923076923,1212.0,,143.94299287410925,,3.0,3.0,0.0,0.0,0.8364304592005286,0.32592500825900234,19.285678185649495,venkatesh iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,2000000.0,1,4.0,2000000.0,2000000.0,0,17.323773102931632,33390202.379503224,18.07489424996259,70766355.14018692,gradient_boosting,3.339020237950322,7.076635514018692,29534353.139609825,-41232002.00057709,2.9534353139609824,23.75,-204109797.62049678,-0.8594096741915654,strongly_overvalued,-207965646.8603902,-0.8756448288858534,strongly_overvalued,-166733644.8598131,-0.7020363994097394
Kolkata Knight Riders,Cameron Green  ,,"25,20,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,252000000.0,25.2,cameron green,unknown,1,0,0,22.0,,Overseas,"2,00,00,000 ",Capped,c green,0.93,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34493964944395,c green,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,7500000.0,23867187.5,0,0,0,0,0,0,0,0,0,0.0,0,175000000.0,2,3.0,175000000.0,88500000.0,1,17.6963693277857,48465817.18706799,17.790903196096938,53271028.03738318,gradient_boosting,4.846581718706799,5.327102803738318,107230900.0,53959871.96261682,10.72309,25.2,-203534182.812932,-0.807675328622746,strongly_overvalued,-144769100.0,-0.5744805555555555,strongly_overvalued,-198728971.96261683,-0.7886070315976859
Lucknow Super Giants,Rishabh Pant,,"27,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,270000000.0,27.0,rishabh pant,wicketkeeper,0,1,0,74.0,,Indian,"2,00,00,000 ",Capped,rishabh pant,1.0,2024.0,rishabh pant,13.0,13.0,446.0,287.0,294.0,36.0,25.0,11.0,90.0,155.4006968641115,40.54545454545455,21.254355400696863,31.3588850174216,34.30769230769231,38.0,217.0,0.0,32.0,92.0,306.0,0.0,48.0,150.0,141.01382488479263,242.10526315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1146.0,,138.1898293389626,,7.0,8553.0,,97.0,3327.0,,43.0,129.42385018993903,,2052.0,,171.0,,7.0,7.0,0.0,0.0,0.917368681863231,0.3229930624380575,19.413932520666354,rishabh pant,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,112500000.0,120857142.85714285,1,1,0,1,0,1,0,0,0,0.0,0,,0,,,,1,18.24857573341555,84189075.11257169,18.10976088089204,73277258.56697819,gradient_boosting,8.418907511257169,7.3277258566978185,159750000.0,75560924.88742831,15.975,27.0,-185810924.8874283,-0.6881886106941789,strongly_overvalued,-110250000.0,-0.4083333333333333,strongly_overvalued,-196722741.4330218,-0.7286027460482289
Punjab Kings,Shreyas Iyer,,"26,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,267500000.0,26.75,shreyas iyer,batter,0,0,0,111.0,,Indian,"2,00,00,000 ",Capped,shreyas iyer,1.0,2024.0,shreyas iyer,14.0,14.0,351.0,239.0,220.0,34.0,14.0,9.0,74.0,146.86192468619245,39.0,20.0836820083682,30.962343096234306,25.071428571428573,36.0,168.0,0.0,35.0,84.0,239.0,0.0,28.0,80.0,142.26190476190476,233.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,864.0,0.0,116.58193306573133,7.0,8.0,8340.0,0.0,100.0,3285.0,0.0,39.0,118.42717106342873,7.0,1557.0,0.0,137.9591836734694,7.0,7.0,7.0,0.0,0.0,0.8831598942847705,0.409217046580773,19.404630128038654,shreyas iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,1,1,1,1,0,0,0,0,0,0.0,0,122500000.0,1,3.0,122500000.0,122500000.0,1,18.402718210899046,98219782.16227055,18.04821648498263,68903426.79127726,gradient_boosting,9.821978216227055,6.890342679127726,177625000.0,79405217.83772945,17.7625,26.75,-169280217.83772945,-0.6328232442531943,strongly_overvalued,-89875000.0,-0.33598130841121493,strongly_overvalued,-198596573.20872274,-0.7424170961073747
Kolkata Knight Riders,Matheesha Pathirana  ,,"18,00,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,180000000.0,18.0,matheesha pathirana,bowler,1,0,0,23.0,,Overseas,"2,00,00,000 ",Capped,m pathirana,0.93,2025.0,m pathirana,12.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,284.0,251.0,424.0,13.0,76.0,19.307692307692307,10.135458167330677,30.278884462151396,109.0,142.0,0.0,0.0,190.0,234.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,,9.0,10.458715596330274,3.0,,35.0,,7.69656728952341,3.0,,76.0,20.0,,76.0,20.0,,7.5310448596822726,,57.0,,7.199999999999999,0.0,0.0,1.0,1.0,0.2571522960026429,0.8279567228278824,19.00846741441004,m pathirana,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,72000000.0,85000000.0,0,0,0,0,0,0,1,0,0,0.726766948965026,0,,0,,,,0,17.36426533356605,34769993.07456682,17.8961584411809,59183800.62305296,gradient_boosting,3.476999307456682,5.918380062305296,61876076.509581685,2692275.886528723,6.187607650958168,18.0,-145230006.9254332,-0.8068333718079621,strongly_overvalued,-118123923.49041831,-0.6562440193912129,strongly_overvalued,-120816199.37694705,-0.6712011076497058
Royal Challengers Bengaluru,Kyle Jamieson ,All-Rounder ,"15,00,00,000",2021.0,IPL_Auction_2021_Sold_Player.csv,150000000.0,15.0,kyle jamieson,all_rounder,0,0,1,46.0,,,,,ka jamieson,0.93,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.826145858727198,ka jamieson,5000000.0,25491228.07017544,1453000000.0,57,0.5,0.9341496901108871,0,7500000.0,30166666.666666668,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,,0,,,,0,15.86172169183195,7738524.254612727,16.974431361215245,23545171.339563865,gradient_boosting,0.7738524254612728,2.3545171339563864,15142425.575933492,-8402745.763630373,1.5142425575933491,15.0,-142261475.7453873,-0.9484098383025819,strongly_overvalued,-134857574.4240665,-0.8990504961604434,strongly_overvalued,-126454828.66043614,-0.8430321910695743
Chennai Super Kings,Prashant Veer,,"14,20,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,142000000.0,14.2,prashant veer,unknown,0,0,0,1.0,,Indian,"30,00,000 ",Uncapped,prashant veer,1.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77133762260779,prashant veer,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,7500000.0,23867187.5,0,0,0,0,0,0,0,0,0,0.0,0,,0,,,,0,15.244618619417313,4174972.7107349387,17.790903196096938,53271028.03738318,gradient_boosting,0.4174972710734939,5.327102803738318,15741276.560986312,-37529751.476396866,1.5741276560986313,14.2,-137825027.28926507,-0.9705987837272188,strongly_overvalued,-126258723.43901369,-0.889145939711364,strongly_overvalued,-88728971.96261683,-0.624851915229696
Chennai Super Kings,Kartik Sharma,,"14,20,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,142000000.0,14.2,kartik sharma,unknown,0,0,0,0.0,,Indian,"30,00,000 ",Uncapped,ks sharma,0.93,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77133762260779,ks sharma,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,7500000.0,23867187.5,0,0,0,0,0,0,0,0,0,0.0,0,5000000.0,5,1.0,50000000.0,12800000.0,0,15.282994461380897,4338304.800787772,17.790903196096938,53271028.03738318,gradient_boosting,0.4338304800787772,5.327102803738318,19783425.908264052,-33487602.129119124,1.9783425908264052,14.2,-137661695.19921222,-0.9694485577409312,strongly_overvalued,-122216574.09173594,-0.860680099237577,strongly_overvalued,-88728971.96261683,-0.624851915229696
Punjab Kings,Yuzvendra Chahal,,"18,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,180000000.0,18.0,yuzvendra chahal,bowler,0,0,0,112.0,,Indian,"2,00,00,000 ",Capped,ys chahal,0.93,2024.0,ys chahal,15.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,362.0,348.0,546.0,18.0,98.0,19.333333333333332,9.413793103448276,28.160919540229884,36.0,288.0,0.0,24.0,69.0,450.0,0.0,27.0,2.0,15.0,0.0,1.0,1.0,6.75,2.0,11.5,11.0,15.0,72.0,62.5,7.859638554216867,11.0,,561.0,144.0,45.0,198.0,46.0,49.76851851851852,7.579696470972524,,81.0,,6.996978851963746,0.0,0.0,10.0,10.0,0.23540634291377605,0.9645441030723488,19.00846741441004,ys chahal,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,80000000.0,74037037.03703703,1,0,0,0,0,0,1,0,0,0.8041037958477545,0,65000000.0,2,3.0,65000000.0,62500000.0,0,17.58540806579638,43375617.94680146,18.055244807198726,69389408.09968847,gradient_boosting,4.337561794680146,6.938940809968847,105600000.0,36210591.90031153,10.56,18.0,-136624382.05319855,-0.7590243447399919,strongly_overvalued,-74400000.0,-0.41333333333333333,strongly_overvalued,-110610591.90031153,-0.6145032883350641
Punjab Kings,Jhye Richardson ,Bowler ,"14,00,00,000",2021.0,IPL_Auction_2021_Sold_Player.csv,140000000.0,14.0,jhye richardson,bowler,0,0,0,29.0,,,,,ja richardson,0.93,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.757152987716434,ja richardson,5000000.0,25491228.07017544,1453000000.0,57,0.5,0.9341496901108871,0,10000000.0,30131578.94736842,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,,0,,,,0,15.832279931295998,7514009.716323764,17.427270106819172,37031152.64797508,gradient_boosting,0.7514009716323764,3.703115264797508,20765832.824413013,-16265319.823562067,2.0765832824413013,14.0,-132485990.28367624,-0.9463285020262588,strongly_overvalued,-119234167.17558698,-0.8516726226827641,strongly_overvalued,-102968847.35202491,-0.7354917668001779
