team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,sena_overseas_premium_proxy,wicketkeeper_scarcity_proxy,death_bowler_premium_proxy,control_bowler_premium_proxy,left_arm_bowler_proxy,premium_bowler_quality_index,elite_indian_pacer_scarcity_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,article_fair_price_in_inr,article_market_premium_in_inr,article_fair_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,article_mispricing_in_inr,article_mispricing_pct,article_mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct
Lucknow Super Giants,Aiden Markram  ,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,aiden markram,batter,1,0,0,81.0,,Overseas,"2,00,00,000 ",Capped,ak markram,0.93,2024.0,ak markram,11.0,11.0,220.0,177.0,96.0,18.0,4.0,9.0,49.0,124.29378531073448,24.444444444444443,12.429378531073446,27.683615819209038,20.0,16.0,102.0,0.0,59.0,31.0,122.0,0.0,67.0,113.55932203389831,119.6078431372549,193.75,2.0,2.0,13.0,12.0,15.0,0.0,4.0,,7.5,33.33333333333333,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,943.5,3.0,131.8989898989899,9.619047619047619,3.0,2325.0,6.0,31.0,2325.0,6.0,31.0,128.37587322905884,8.303109371602522,1143.0,3.0,138.54545454545456,5.671232876712329,2.0,3.0,0.0,0.0,0.8170465807730427,0.4706144697720515,16.811242881518265,ak markram,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,26000000.0,1,3.0,26000000.0,26000000.0,0,18.45831158922332,103834784.10996266,17.25979531101437,31320872.274143305,gradient_boosting,10.383478410996267,3.1320872274143303,68794302.82606404,-35040481.28389862,6.879430282606403,2.0,83834784.10996266,4.191739205498133,strongly_undervalued,48794302.826064035,2.4397151413032017,strongly_undervalued,11320872.274143305,0.5660436137071653
Kolkata Knight Riders,Rachin Ravindra  ,,"2,00,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,20000000.0,2.0,rachin ravindra,batter,1,0,0,26.0,,Overseas,"2,00,00,000 ",Capped,r ravindra,0.93,2025.0,r ravindra,8.0,8.0,191.0,149.0,96.0,18.0,4.0,7.0,48.0,128.18791946308724,27.285714285714285,14.76510067114094,32.21476510067114,23.875,6.0,39.0,26.0,78.0,21.0,44.0,23.0,103.0,132.05128205128204,112.82051282051282,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,222.0,0.0,160.8695652173913,3.5,1.0,222.0,0.0,10.0,222.0,0.0,10.0,160.8695652173913,3.5,222.0,0.0,160.8695652173913,3.5,0.0,0.0,0.0,0.0,0.6154112983151636,0.42262966633630655,16.811242881518265,r ravindra,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,20000000.0,40222222.222222224,0,0,0,0,0,0,0,0,0,0.0,0,40000000.0,2,1.0,40000000.0,29000000.0,0,18.307394245336557,89289480.0340237,17.8947889387514,59102803.73831776,gradient_boosting,8.92894800340237,5.9102803738317755,73139564.9320491,-16149915.101974607,7.31395649320491,2.0,69289480.0340237,3.464474001701185,strongly_undervalued,53139564.932049096,2.656978246602455,strongly_undervalued,39102803.73831776,1.955140186915888
Rajasthan Royals,Ravi Singh,,"95,00,000 ",2026.0,IPL_Auction_2026_Sold_Player.csv,9500000.0,0.95,ravi singh,batter,0,0,0,52.0,,Indian,"30,00,000 ",Uncapped,rk singh,0.93,2025.0,rk singh,11.0,11.0,206.0,134.0,140.0,20.0,10.0,7.0,47.0,153.73134328358208,29.428571428571427,22.388059701492537,35.07462686567165,18.727272727272727,42.0,86.0,0.0,6.0,99.0,103.0,0.0,4.0,66.66666666666666,119.76744186046511,235.71428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,795.0,,147.8626534030072,,6.0,2343.0,,40.0,2112.0,,32.0,147.04306884248763,,1422.0,,148.67256637168143,,2.0,2.0,0.0,0.0,0.850858936240502,0.3229930624380575,16.066802461833923,rk singh,10000000.0,27980519.48051948,2154500000.0,77,1.0,1.0253720821104804,0,20000000.0,40222222.222222224,0,0,0,1,0,0,0,0,0,0.0,0,5500000.0,2,4.0,8000000.0,6750000.0,0,17.985298671699233,64701740.244588636,18.065695529649023,70118380.06230529,gradient_boosting,6.4701740244588635,7.011838006230529,46696600.56477773,-23421779.497527555,4.669660056477773,0.95,55201740.244588636,5.8107094994303825,strongly_undervalued,37196600.56477773,3.915431638397656,strongly_undervalued,60618380.06230529,6.3808821118216095
Delhi Capitals,Faf Du Plessis  ,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,faf du plessis,batter,1,0,0,28.0,,Overseas,"2,00,00,000 ",Capped,f du plessis,0.93,2024.0,f du plessis,15.0,15.0,438.0,271.0,314.0,47.0,21.0,14.0,97.0,161.62361623616238,31.285714285714285,25.092250922509223,35.79335793357934,29.2,3.0,61.0,40.0,167.0,2.0,109.0,36.0,291.0,174.25149700598803,178.68852459016392,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1797.0,,139.59943796193997,,11.0,12399.0,,123.0,5493.0,,46.0,138.70435974679677,,2190.0,,152.82623866015354,,9.0,10.0,0.0,0.0,0.9621737694086555,0.3229930624380575,16.811242881518265,f du plessis,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,1,0,0,0,0,0,0,0,0,0.0,0,70000000.0,2,3.0,70000000.0,43000000.0,1,18.051484408633716,69128966.25475334,18.120753719329386,74087227.41433021,gradient_boosting,6.912896625475334,7.408722741433022,98360272.39037375,24273044.976043537,9.836027239037374,2.0,49128966.25475334,2.456448312737667,strongly_undervalued,78360272.39037375,3.9180136195186877,strongly_undervalued,54087227.414330214,2.704361370716511
Kolkata Knight Riders,Rovman Powell  ,,"1,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,15000000.0,1.5,rovman powell,batter,1,0,0,68.0,,Overseas,"1,50,00,000 ",Capped,r powell,0.93,2024.0,r powell,7.0,7.0,103.0,68.0,76.0,10.0,6.0,6.0,30.0,151.47058823529412,17.166666666666668,23.52941176470588,44.11764705882353,14.714285714285714,44.0,24.0,0.0,0.0,80.0,23.0,0.0,0.0,,95.83333333333334,181.8181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385.5,1.5,112.70778652668417,12.31578947368421,2.0,771.0,3.0,15.0,771.0,3.0,15.0,112.70778652668417,12.31578947368421,750.0,3.0,147.63779527559055,8.526315789473685,1.0,1.0,0.0,0.0,0.6316237198546415,0.4099686157912124,16.52356082573315,r powell,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,74000000.0,2,1.0,74000000.0,51000000.0,1,17.840246273350584,55965515.0022016,17.912447826880328,60155763.23987539,gradient_boosting,5.59655150022016,6.015576323987539,100630000.0,40474236.76012461,10.063,1.5,40965515.0022016,2.731034333480107,strongly_undervalued,85630000.0,5.708666666666667,strongly_undervalued,45155763.23987539,3.0103842159916927
Royal Challengers Bengaluru,Swapnil Singh,,"50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,5000000.0,0.5,swapnil singh,batter,1,0,0,162.0,,Overseas,"30,00,000 ",Uncapped,swapnil singh,1.0,2024.0,swapnil singh,7.0,5.0,37.0,21.0,30.0,3.0,3.0,2.0,8.0,176.19047619047618,18.5,28.57142857142857,38.095238095238095,7.4,12.0,9.0,0.0,0.0,22.0,15.0,0.0,0.0,,166.66666666666669,183.33333333333331,7.0,7.0,92.0,90.0,133.0,6.0,27.0,15.0,8.866666666666667,30.0,0.0,30.0,30.0,30.0,0.0,42.0,32.0,59.0,0.0,1.0,3.0,2.0,2.0,11.8,0.0,,3.0,21.0,1.5,56.578947368421055,8.82283464566929,3.0,42.0,3.0,7.0,42.0,3.0,7.0,37.719298245614034,9.10411198600175,36.0,3.0,63.1578947368421,8.645669291338582,0.0,0.0,0.0,0.0,0.3287743640568219,0.4350429468120251,15.424948670398354,swapnil singh,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,2000000.0,2,1.0,2000000.0,2000000.0,0,17.641801438826267,45892002.25489464,16.387861243186947,13096573.20872274,gradient_boosting,4.5892002254894635,1.309657320872274,26202750.9865164,-19689251.268378235,2.62027509865164,0.5,40892002.25489464,8.178400450978927,strongly_undervalued,21202750.9865164,4.24055019730328,strongly_undervalued,8096573.20872274,1.619314641744548
Lucknow Super Giants,Avesh Khan,,"9,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,97500000.0,9.75,avesh khan,bowler,0,0,0,75.0,,Indian,"2,00,00,000 ",Capped,avesh khan,1.0,2024.0,avesh khan,15.0,2.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0,200.0,,20.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,200.0,15.0,15.0,346.0,329.0,526.0,19.0,97.0,17.31578947368421,9.592705167173252,29.48328267477204,113.0,120.0,0.0,96.0,174.0,182.0,0.0,170.0,8.0,6.0,0.0,5.0,5.0,10.625,8.0,9.238938053097346,7.0,33.0,39.0,84.61538461538461,9.15426500455214,7.0,93.0,165.0,47.0,81.0,150.0,38.0,111.96581196581197,8.524368000045223,66.0,72.0,169.23076923076923,5.75,0.0,0.0,3.0,3.0,0.4185001651800463,0.787148992401718,18.395362946224484,avesh khan,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,80000000.0,74037037.03703703,1,0,0,0,0,0,1,0,0,0.7938929561259156,0,100000000.0,2,3.0,100000000.0,53500000.0,1,18.716249539065487,134389052.97060138,17.997584496236847,65501557.632398754,gradient_boosting,13.438905297060138,6.550155763239875,120008082.69718312,-14380970.273418263,12.000808269718311,9.75,36889052.97060138,0.37834926123693724,strongly_undervalued,22508082.697183117,0.23085213022751916,strongly_undervalued,-31998442.367601246,-0.3281891524882179
Sunrisers Hyderabad,Wanindu Hasaranga ,All-Rounder ,"1,50,00,000 ",2024.0,IPL_Auction_2024_Sold_Player.csv,15000000.0,1.5,wanindu hasaranga,all_rounder,1,0,1,69.0,,Overseas ,,,wanindu hasaranga,1.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.52356082573315,wanindu hasaranga,12500000.0,32006944.444444444,2304500000.0,72,1.25,1.1729241585326406,0,5000000.0,28304347.826086957,0,0,0,0,0,0,1,1,0,0.34502076843198337,0,107500000.0,1,2.0,107500000.0,107500000.0,1,17.69179322210175,48244539.162940614,16.974431361215245,23545171.339563865,gradient_boosting,4.824453916294061,2.3545171339563864,69776693.62661003,21532154.46366941,6.977669362661002,1.5,33244539.162940614,2.2163026108627077,strongly_undervalued,54776693.626610026,3.651779575107335,strongly_undervalued,8545171.339563865,0.5696780893042577
Royal Challengers Bengaluru,Tim David  ,,"3,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,30000000.0,3.0,tim david,batter,1,0,0,155.0,,Overseas,"2,00,00,000 ",Capped,th david,0.93,2024.0,th david,11.0,11.0,241.0,152.0,146.0,14.0,15.0,8.0,47.0,158.55263157894737,30.125,19.078947368421055,30.92105263157895,21.90909090909091,87.0,65.0,0.0,0.0,171.0,70.0,0.0,0.0,,107.6923076923077,196.55172413793102,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,625.5,,183.600428713604,,3.0,1254.0,,24.0,1254.0,,24.0,133.51139692018043,,693.0,,212.16730038022814,,2.0,2.0,0.0,0.0,0.7744218698381234,0.3229930624380575,17.216707972959764,th david,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,82500000.0,1,3.0,82500000.0,82500000.0,1,17.90737482214946,59851365.521645345,18.08966401791905,71819314.64174454,gradient_boosting,5.985136552164534,7.181931464174454,119625000.0,47805685.35825546,11.9625,3.0,29851365.521645345,0.9950455173881781,strongly_undervalued,89625000.0,2.9875,strongly_undervalued,41819314.64174454,1.3939771547248179
Kolkata Knight Riders,Spencer Johnson  ,,"2,80,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,28000000.0,2.8,spencer johnson,batter,1,0,0,63.0,,Overseas,"2,00,00,000 ",Capped,sh johnson,0.93,2024.0,sh johnson,5.0,3.0,6.0,7.0,4.0,1.0,0.0,0.0,4.0,85.71428571428571,,14.285714285714285,57.14285714285714,2.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,85.71428571428571,5.0,5.0,99.0,96.0,151.0,4.0,34.0,24.0,9.4375,35.41666666666667,24.0,36.0,0.0,36.0,31.0,68.0,0.0,52.0,2.0,1.0,0.0,1.0,1.0,8.666666666666666,2.0,7.75,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2571522960026429,0.3229930624380575,17.147715103853763,sh johnson,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,100000000.0,1,1.0,100000000.0,100000000.0,1,17.858237983651737,56981542.986194886,15.471808466211366,5239875.3894081,gradient_boosting,5.698154298619489,0.5239875389408101,129033906.47207324,72052363.48587835,12.903390647207324,2.8,28981542.986194886,1.0350551066498173,strongly_undervalued,101033906.47207324,3.6083538025740443,strongly_undervalued,-22760124.6105919,-0.812861593235425
